6               MOHEFT     151.755892  1773.265929   10278.0  1.137691e+10     0.000000   2888.783080    0.000000   1297.607936    0.243640          0.243640
7              NSGA-II     164.196615  2052.154760   10184.0  7.025410e+09   574.576180   2784.731796  345.657330   1355.658830   48.214322         48.214322
8             NSGA-III     163.022002  2092.714334   10660.0  6.414392e+09   543.209645   3311.212592  389.197788   1653.738279   51.030822         51.030822
9               MOEA/D     179.196615  2119.260170   10194.0  6.004814e+09   166.573431   3784.036978  146.666783   1359.485265   48.912227         48.912227
10        Proposed-Syn     151.488215  1787.489137    7174.0  1.175045e+10   821.328396   1918.249280   58.101416    255.582016  252.574229          0.053174
11       Proposed-Real     145.545455  1773.265929    5520.0  1.333813e+10     0.000000     68.841908    0.000000      3.174343  276.107790          0.061357


                  name  best_makespan  best_energy  best_qos   hypervolume           gd           igd      gd_plus      igd_plus    run_time  decision_latency
0                 HEFT     114.939394  1713.976951    8589.0  3.954625e+08  1379.125717   2923.696655    96.093241   2720.239848    0.275601          0.275601
1               FERPTS     199.229167  1688.686595   12910.0  1.436086e+08   974.649193   6826.397010   974.649193   6826.385105    0.428097          0.428097
2               Random     133.965106  1731.580319    8029.0  3.316324e+08   821.156924   2434.101630   113.696609   2196.768518    0.012220          0.000049
3   Least Loaded First     119.229167  1721.968010    5510.0  4.593064e+08    26.829016    886.970302    19.893032    183.263464    0.008777          0.000035
4         Round--Robin     254.229167  1723.615966   19250.0  8.863969e+06  7313.071332  13166.522586  7313.071332  13166.522586    0.021806          0.000087
5     Weighted Dynamic     175.625977  1673.257394   12077.0  2.190804e+08   150.072912   5993.766624   149.623678   5993.685716    1.734786          0.006939
6               MOHEFT     124.471380  1667.807421    8670.0  4.461972e+08  1288.272677   2859.945749   590.358370   2794.022797    9.657186          2.414296
7              NSGA-II     104.229167  1696.270028    5096.0  5.854974e+08     5.255613    545.523156     0.375239     86.496076  621.973722        310.986861
8             NSGA-III     109.229167  1702.321786    5351.0  5.458714e+08     0.000000    947.299222     0.000000    120.875731  635.291626        317.645813
9               MOEA/D     118.229167  1712.737472    5623.0  4.819933e+08    66.814088    864.875481    12.982327    225.277519  512.912195        512.912195
10        Proposed-Syn     108.229167  1681.535184    4914.0  5.829802e+08   467.491367    406.865006    47.839505     87.369310  840.274247          0.176900
11       Proposed-Real     113.229167  1617.883710    3902.0  7.169815e+08     7.684260     99.572710     5.601452     13.724325  352.438864          0.201394
